transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry
6253,2024-03-14,1006,5,0,477,267.17625,71.65242981011856,34178.209019426555,1,2,0,0,High,1,2
4685,2023-12-04,4955,5,1,137,207.79,94.43958142789144,12938.222655621128,1,1,0,0,High,1,2
1732,2023-05-04,696,11,0,155,155.0,20.69213814906549,3207.281413105151,1,2,0,0,High,4,1
4743,2023-12-06,4955,12,1,12,208.4,128.35260245942936,1540.2312295131524,1,4,0,0,Mid,1,7
4522,2023-11-22,1816,17,1,91,173.12,232.5033292857061,21157.802964999253,1,4,0,0,Mid,4,6
6341,2024-03-20,1899,8,0,1509,267.17625,453.0888018696642,683711.0020213233,1,4,0,0,High,4,1
577,2023-02-08,3588,4,0,106,169.53,188.04131337039905,19932.3792172623,1,4,0,0,Low,1,4
5203,2024-01-03,1513,9,1,372,179.31,169.25554709012007,62963.063517524664,1,4,0,0,High,0,5
6364,2024-03-21,3588,18,0,79,178.61,51.01282731782194,4030.013358107933,1,2,0,0,Mid,1,2
440,2023-01-30,182,8,0,19,267.17625,232.72566137599807,4421.787566143963,1,1,0,1,High,4,1
2751,2023-07-20,3588,11,0,514,165.12,17.408084947597036,8947.755663064876,1,2,0,0,High,4,1
7488,2024-06-11,4747,6,1,13,202.27,127.73111023729344,1660.5044330848148,1,3,0,0,Mid,1,2
5273,2024-01-08,845,5,0,689,184.87,126.1116831165163,86890.94966727974,1,1,0,0,High,1,2
5654,2024-01-31,4955,0,1,52,211.02,62.12695996446321,3230.601918152087,1,4,0,0,Low,1,7
4000,2023-10-18,979,12,0,146,146.0,127.33323715453704,18590.652624562408,0,4,0,0,Mid,1,7
6034,2024-02-28,4519,5,1,128,204.23,86.79467454235154,11109.718341420998,0,4,0,0,High,1,2
583,2023-02-08,4747,5,0,87,150.76,132.03471825831284,11487.020488473217,1,4,0,0,High,1,2
9931,2024-12-03,3938,5,0,59,212.32,50.32476101917984,2969.1609001316106,1,3,0,0,High,1,2
7052,2024-05-10,3322,7,0,249,223.85,139.77321738473435,34803.53112879885,1,0,0,0,High,1,2
8159,2024-07-31,3623,17,1,12,193.76,105.22731911576103,1262.7278293891325,0,4,0,0,Mid,4,6
9897,2024-11-29,1956,12,0,55,121.72625000000004,96.8743139459276,5328.087267026018,1,0,0,0,Mid,1,7
2250,2023-06-12,1513,16,0,81,215.4,141.79693071461153,11485.551387883534,1,1,0,0,Mid,3,3
4641,2023-11-30,2475,5,0,91,121.72625000000004,88.60283884123474,8062.858334552361,1,2,0,0,High,1,2
9486,2024-10-31,3938,18,1,95,210.11,39.64997175899531,3766.747317104554,1,2,0,0,Mid,1,2
4948,2023-12-19,3779,5,0,124,124.0,96.80866955009398,12004.275024211654,0,3,0,0,High,1,2
9921,2024-12-02,594,9,0,265,267.17625,358.9875827091711,95131.70941793034,1,1,0,0,High,0,5
1964,2023-05-23,4747,8,1,128,194.68,320.13412925114653,40977.168544146756,1,3,0,0,High,4,1
8244,2024-08-06,3339,12,1,69,249.15,115.00296716627746,7935.2047344731445,1,3,0,0,Mid,1,7
6591,2024-04-05,4747,19,1,37,202.71,48.14432639978804,1781.3400767921576,1,0,0,0,Mid,1,2
8848,2024-09-18,1903,8,0,236,160.75,459.8613243059508,108527.27253620439,1,4,0,0,High,4,1
322,2023-01-20,193,12,0,20,166.06,165.4054547011188,3308.1090940223758,1,0,0,0,Mid,1,7
2679,2023-07-14,1513,5,0,44,209.8,96.20514567876684,4233.026409865741,1,0,0,0,High,1,2
4626,2023-11-29,4747,8,1,77,201.31,368.50351753493055,28374.770850189652,1,4,0,0,High,4,1
4950,2023-12-19,182,8,1,209,267.17625,371.2134748493913,77583.61624352277,1,3,0,0,High,4,1
8329,2024-08-13,1771,5,0,41,267.17625,44.649730409731866,1830.6389467990066,1,3,0,0,High,1,2
3338,2023-08-30,1157,12,1,247,160.59,131.74623842402875,32541.3208907351,1,4,0,0,Mid,1,7
5590,2024-01-25,845,17,0,19,181.58,179.8133491826209,3416.453634469797,1,2,0,0,Mid,4,6
252,2023-01-17,4747,17,1,26,190.28,106.87282700632382,2778.6935021644194,1,3,0,0,Mid,4,6
3974,2023-10-17,4023,3,0,177,202.7,56.3658883647615,9976.762240562786,1,3,0,0,Low,2,0
6631,2024-04-10,1494,5,0,287,267.17625,59.71832679363459,17139.159789773126,1,4,0,0,High,1,2
5548,2024-01-24,1870,7,0,48,121.72625000000004,149.57179051048882,7179.445944503464,1,4,0,0,High,1,2
36,2023-01-03,4747,12,0,74,212.29,157.96263594264707,11689.235059755883,1,3,0,0,Mid,1,7
8363,2024-08-15,3339,11,1,102,241.8,8.862304168854372,903.955025223146,1,2,0,0,High,4,1
1514,2023-04-18,4955,9,0,190,221.32,137.0630651482724,26041.982378171753,1,3,0,0,High,0,5
9318,2024-10-21,1797,5,0,142,121.72625000000004,46.13474377083418,6551.133615458453,1,1,0,0,High,1,2
40,2023-01-03,98,19,0,29,121.72625000000004,96.96292498026584,2811.924824427709,1,3,0,0,Mid,1,2
4820,2023-12-11,227,17,0,60,210.2,221.48295115049496,13288.977069029697,1,1,0,0,Mid,4,6
3466,2023-09-08,1157,2,0,46,159.17,16.762794293998887,771.0885375239488,1,0,0,0,Low,4,6
1761,2023-05-08,1513,8,1,42,234.33,317.5974383446467,13339.092410475163,1,1,0,0,High,4,1
2305,2023-06-15,1513,5,1,637,214.43,117.54801686937289,74878.08674579053,1,2,0,0,High,1,2
3724,2023-09-27,4747,5,0,1018,205.24,117.49517997715508,119610.09321674387,1,4,0,0,High,1,2
8285,2024-08-08,280,11,0,282,252.29,8.989066948756355,2534.916879549292,0,2,0,0,High,4,1
4994,2023-12-21,4747,5,1,80,206.96,94.17780933855906,7534.224747084725,1,2,0,0,High,1,2
8128,2024-07-29,1903,5,0,386,150.0,48.1982487339256,18604.52401129528,1,1,0,1,High,1,2
3033,2023-08-09,1797,10,0,59,126.71,80.19051898330342,4731.240620014902,1,4,0,0,Mid,2,0
7939,2024-07-12,2741,16,0,558,267.17625,153.02839262051984,85389.84308225007,1,0,0,0,Mid,3,3
3040,2023-08-10,3129,5,1,535,267.17625,101.6346510578804,54374.53831596602,0,2,0,0,High,1,2
9656,2024-11-14,2317,12,1,48,121.72625000000004,94.6550533493447,4543.442560768545,0,2,0,0,Mid,1,7
2546,2023-07-04,3087,17,1,127,121.72625000000004,164.32849576562177,20869.718962233965,1,3,0,0,Mid,4,6
2593,2023-07-07,3032,8,0,1104,267.17625,350.1078132751387,386519.02585575316,1,0,0,0,High,4,1
1189,2023-03-27,4747,5,0,1147,205.7,132.0278016666596,151435.88851165856,1,1,0,0,High,1,2
7967,2024-07-16,3588,9,0,197,186.15,206.07789758336088,40597.34582392209,1,3,0,0,High,0,5
6078,2024-03-01,3961,12,0,263,267.17625,119.15828422509556,31338.628751200133,1,0,0,0,Mid,1,7
108,2023-01-06,4747,12,1,117,186.38,159.6197714568813,18675.51326045511,1,0,0,0,Mid,1,7
1316,2023-04-04,4955,19,0,85,217.66,69.25731287374525,5886.871594268347,1,3,0,0,Mid,1,2
8188,2024-08-02,4046,5,0,139,139.0,45.44699602554687,6317.1324475510155,1,0,0,0,High,1,2
2754,2023-07-20,4987,17,0,36,121.72625000000004,189.2128918200572,6811.664105522059,1,2,0,0,Mid,4,6
9754,2024-11-22,1636,5,0,130,121.72625000000004,50.182207132904594,6523.6869272775975,1,0,0,0,High,1,2
6232,2024-03-13,1185,5,0,544,267.17625,74.48224065582532,40518.338916768975,0,4,0,0,High,1,2
2877,2023-07-28,4776,5,0,156,163.0,96.69925992001905,15085.08454752297,1,0,0,0,High,1,2
