transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry
6253,2024-03-14,1006,5,0,477,267.17625,71.65242981011856,34178.209019426555,1,2,0,0,High,1,2
4685,2023-12-04,4955,5,1,137,207.79,94.43958142789144,12938.222655621128,1,1,0,0,High,1,2
1732,2023-05-04,696,11,0,155,155.0,20.69213814906549,3207.281413105151,1,2,0,0,High,4,1
4743,2023-12-06,4955,12,1,12,208.4,128.35260245942936,1540.2312295131524,1,4,0,0,Mid,1,7
4522,2023-11-22,1816,17,1,91,173.12,232.5033292857061,21157.802964999253,1,4,0,0,Mid,4,6
6341,2024-03-20,1899,8,0,1509,267.17625,453.0888018696642,683711.0020213233,1,4,0,0,High,4,1
577,2023-02-08,3588,4,0,106,169.53,188.04131337039905,19932.3792172623,1,4,0,0,Low,1,4
5203,2024-01-03,1513,9,1,372,179.31,169.25554709012007,62963.063517524664,1,4,0,0,High,0,5
6364,2024-03-21,3588,18,0,79,178.61,51.01282731782194,4030.013358107933,1,2,0,0,Mid,1,2
440,2023-01-30,182,8,0,19,267.17625,232.72566137599807,4421.787566143963,1,1,0,1,High,4,1
2751,2023-07-20,3588,11,0,514,165.12,17.408084947597036,8947.755663064876,1,2,0,0,High,4,1
7488,2024-06-11,4747,6,1,13,202.27,127.73111023729344,1660.5044330848148,1,3,0,0,Mid,1,2
5273,2024-01-08,845,5,0,689,184.87,126.1116831165163,86890.94966727974,1,1,0,0,High,1,2
5654,2024-01-31,4955,0,1,52,211.02,62.12695996446321,3230.601918152087,1,4,0,0,Low,1,7
4000,2023-10-18,979,12,0,146,146.0,127.33323715453704,18590.652624562408,0,4,0,0,Mid,1,7
6034,2024-02-28,4519,5,1,128,204.23,86.79467454235154,11109.718341420998,0,4,0,0,High,1,2
583,2023-02-08,4747,5,0,87,150.76,132.03471825831284,11487.020488473217,1,4,0,0,High,1,2
9931,2024-12-03,3938,5,0,59,212.32,50.32476101917984,2969.1609001316106,1,3,0,0,High,1,2
7052,2024-05-10,3322,7,0,249,223.85,139.77321738473435,34803.53112879885,1,0,0,0,High,1,2
8159,2024-07-31,3623,17,1,12,193.76,105.22731911576103,1262.7278293891325,0,4,0,0,Mid,4,6
